rank,score,competitorId,url
1,449.4,cut0,https://cut0.app/
2,339.8,tsuyoshi-nishikawa,https://wsh-tsuyoshi-nishikawa.herokuapp.com/
3,324.05,yusukebe,https://wsh-yusukebe.herokuapp.com/
4,174.2,apple-yagi,https://apple-yagi-wsh-2022.herokuapp.com/
5,171.05,y-moriya,https://webs-hack.herokuapp.com/
6,151.1,matsuu,https://web-speed-hackathon-2022matsuu.herokuapp.com/
7,99.8,mkizka,https://web-speed-hackathon-2022.paas.mkizka.dev/
8,54.15,nakamitsu-nozomi,https://gentle-cove-40691.herokuapp.com/
9,49.95,mofumofu3n,https://cyber-ticket.herokuapp.com/
10,19.65,amekuhideki,https://web-speed-hackathon2022.herokuapp.com/
11,12.15,CyberAgentHack,https://web-speed-hackathon-2022.herokuapp.com/
12,10.65,dora1998,https://web-speed-hackathon-2022.herokuapp.com/
13,9.3,ir27pg,https://ir27pg-web-speed-hackathon.herokuapp.com/
